seasonType,year,seasonName,seasonSlug,leagueId,midsizeName,leagueName,leagueShortName
12349,2024,"2024 Liga BetPlay, Playoffs - Semifinals",playoffs---semifinals,650,COL.1,Colombian Primera A,Colombian Primera A
12350,2024,"2024 Liga BetPlay, Clausura",clausura,650,COL.1,Colombian Primera A,Colombian Primera A
12355,2024,"2024 Colombia Segunda División, Torneo BetPlay - Grand Finals",torneo-betplay---grand-finals,3910,COL.2,Colombian Primera B,Colombian Primera B
12357,2024,"2024 Colombia Segunda División, Torneo BetPlay - Clausura Semifinals",torneo-betplay---clausura-semifinals,3910,COL.2,Colombian Primera B,Colombian Primera B
12358,2024,"2024 Colombia Segunda División, Torneo BetPlay - Clausura",torneo-betplay---clausura,3910,COL.2,Colombian Primera B,Colombian Primera B
12359,2024,"2024 Colombia Segunda División, Torneo BetPlay - Apertura Finals",torneo-betplay---apertura-finals,3910,COL.2,Colombian Primera B,Colombian Primera B
12360,2024,"2024 Colombia Segunda División, Torneo BetPlay - Apertura Semifinals",torneo-betplay---apertura-semifinals,3910,COL.2,Colombian Primera B,Colombian Primera B
12361,2024,"2024 Colombia Segunda División, Torneo BetPlay - Apertura",torneo-betplay---apertura,3910,COL.2,Colombian Primera B,Colombian Primera B
12356,2024,"2024 Colombia Segunda División, Torneo BetPlay - Finals",torneo-betplay---finals,3910,COL.2,Colombian Primera B,Colombian Primera B
12453,2024,"2024 Copa Colombia, First Round",first-round,8313,COL.COPA,Copa Colombia,Copa Colombia
12523,2024,"2024 Copa Chile, First Round",first-round,8313,COL.COPA,Copa Colombia,Copa Colombia
12450,2024,"2024 Copa Colombia, Round of 16",round-of-16,8313,COL.COPA,Copa Colombia,Copa Colombia
12451,2024,"2024 Copa Colombia, Third Round",third-round,8313,COL.COPA,Copa Colombia,Copa Colombia
12452,2024,"2024 Copa Colombia, Second Round",second-round,8313,COL.COPA,Copa Colombia,Copa Colombia
12448,2024,"2024 Copa Colombia, Semifinals",semifinals,8313,COL.COPA,Copa Colombia,Copa Colombia
12522,2024,"2024 Copa Chile, Regional Stage Round of 16",regional-stage-round-of-16,8313,COL.COPA,Copa Colombia,Copa Colombia
12449,2024,"2024 Copa Colombia, Quarterfinals",quarterfinals,8313,COL.COPA,Copa Colombia,Copa Colombia
12447,2024,"2024 Copa Colombia, Finals",finals,8313,COL.COPA,Copa Colombia,Copa Colombia
12959,2024,"2024 Concacaf Central American Cup, Final",final,22947,CONCACAF.CENTRAL.AMERICAN.CUP,Concacaf Central American Cup,Central American Cup
12956,2024,"2024 Concacaf Central American Cup, Group Stage",group-stage,22947,CONCACAF.CENTRAL.AMERICAN.CUP,Concacaf Central American Cup,Central American Cup
12960,2024,"2024 Concacaf Central American Cup, Semifinals",semifinals,22947,CONCACAF.CENTRAL.AMERICAN.CUP,Concacaf Central American Cup,Central American Cup
12958,2024,"2024 Concacaf Central American Cup, Play-In",play-in,22947,CONCACAF.CENTRAL.AMERICAN.CUP,Concacaf Central American Cup,Central American Cup
12957,2024,"2024 Concacaf Central American Cup, Quarterfinals",quarterfinals,22947,CONCACAF.CENTRAL.AMERICAN.CUP,Concacaf Central American Cup,Central American Cup
